Comentário;Sentimento
O atendimento deveria ser mais rápido;Negativo
O atendimento foi excelente, mas acho que o sistema deveria funcionar de forma a não precisarmos do atendimento.;Neutro
João foi ágil e preciso na resolução do problema! Obrigada!;Positivo
Mais agilidade no atendimento;Negativo
Demora muito grande para o atendimento;Negativo
somente que fiz contato em um numero e outro me respondeu... fiquei em duvida na hora de pagar o Boleto (PIX ) .;Negativo
Obrigada;Positivo
Excelente atendimento;Positivo
seguite: acabei de contratar o portal, fiz meu pagamento conforme a consutora michele orientou, mandei o comprovante de pagamento pra ela. o whatsapp dela nao recebe msg, o portal nao foi ativado e o suporte mesmo eu mandando o comprovante de pagamento do meu web-bank apenas disse que tenho q esperar. se nao consegue cumprir com o basico prometido na oferta, imagina o restante. por isso a plataforma é tao mal falada entre os profissionais do mercado, descaso constante com o corretor e imobiliarias, atendimento super impessoal e atuomatizado.;Negativo
O meu anúncio não tem visualização, o título vocês é quem determina, não consigo colocar o título que quero, desde o primeiro dia do anúncio não recebo nenhuma mensagem e não sei para onde estão indo, se é que tem mensagens.;Negativo
Obrigada;Positivo
Não obrigado;Neutro
Meu agradecimento a plataforma e equipe,muito bons.;Positivo
estão c pessoas desqualificadas, não resolvem nada e jogam o problema a terceiros, grupozap nunca erra e com isso fico no prejuizo;Negativo
Melhorar o app que não tem muitas opções, nao consigo nem mexer nas fotos se estiver no app, e o chat não funciona.;Negativo
A única dificuldade que tive foi localizar o contato para a central de atendimento de vocês. Acho que isso deveria estar bem visível no painel de controle do Canal Pro.;Negativo
Mas vc disse que com 24 hrs;Neutro
Excelente atendimento! Super rápidos;Positivo
Adorei a praticidade do WhatsApp;Positivo
Eu li e reli a questão de logaritmos índice de qualidade. E pergunto como pode alguns de meus anúncios terem nota diferente do outro se eles são preenchidos todos por um programa. Como podem uns estarem com boa nota que mesmo assim estão na última página.. e outros com notas baixa. Sinceramente.. a impressão que o zap.me passa não é positiva.;Negativo
Demora no atendimento no chat. Tempo de espera muito grande para solucionar um problema. é um jogo de empurra. O atendente João foi muito solicito comigo.;Negativo
continuem humanizados;Positivo
Mais agilidade! Menor tempo de espera por feedback.;Negativo
"Excelente atendimento da Thais, 
Cordial e objetiva, resolveu meu problema.";Positivo
"Tudo muito enrolado, várias pessoas atendendo sem saber do que se trata os assuntos passados , além dos vendedores venderem campanha como se fosse renovação do plano..
Toda vez os planos estão mudando de valores , datas de vencimentos , deixa tudo mais confuso . Estou me sentindo lesado pq confundiram meu plano cpf com cnjp , não mandam comprovante do estorno";Negativo
"Tudo muito enrolado, várias pessoas atendendo sem saber do que se trata os assuntos passados , além dos vendedores venderem campanha como se fosse renovação do plano..
Toda vez os planos estão mudando de valores , datas de vencimentos , deixa tudo mais confuso . Estou me sentindo lesado pq confundiram meu plano cpf com cnjp , não mandam comprovante do estorno";Negativo
Excelente atendimento;Positivo
Aguardando a resposta;Neutro
Não tem como compreender, eu li e reli a questão dos olgarítmos, assim como o índice de qualidade. mas não batem, pq segui todas as formalidades e meus anuncios continuam nas ultimas páginas;Negativo
Ótimo atendimento;Positivo
Continuar rápido o atendimento;Positivo
Agilidade!;Positivo
Poderia ser mais rápido localizar o atendente.;Negativo
Obrigado;Neutro
Não sei se tem,pois não encontrei, o número do watts de vcs no aplicativo.;Negativo
Quero parabenizar a Hellen, pois estamos há semanas com problema e ela foi a única que deu atenção e resolveu o problema.;Positivo
Deixar mais claro qual tel pra.resolver determinados assuntos ,os departamentos não se comunicam, e acabamos ficando estressado até chegar no contato pra resolver;Negativo
Foi perfeito o atendimento. Parabéns;Positivo
Nada a declarar;Neutro
Quero parabenizar a Hellen, pois estamos há semanas com problema e ela foi a única que deu atenção e resolveu o problema.;Positivo
Gostei do atendimento da Hellen;Positivo
Não me responderam até agora;Negativo
Ela é ótima, pronta e atenciosa;Positivo
"o atendimento pelo whatsapp com a atendente paola foi excelente, efetivo e muito rápido.
acho que o site poderia melhorar as informações já que sao muitas abas e logins, fica bem confuso e nao tem informação nenhuma no site para facilitar.";Positivo
Sugiro que seja aberto outos meios de comunicação entre o cliente e o ZAP, além do caminho via mensagem.;Negativo
Infelizmente a vendedora disse que era possível fazer a atualização pelo suporte já estou tentando fazer a integração a dias porém a demora no atendimento nos faz desanimar;Negativo
Obrigada pela ajuda de sempre;Positivo
"Obrigado Thiago por resolver o meu problema.

Você é o melhor do Brasil";Positivo
A demora;Negativo
Otimo suporte;Positivo
Houve suspensão indevida do meu anúncio e o ZAP se recusou a prorrogar 9 anúncio pelo período da suspensão. Então, por não confiar mais na plataforma, resolvi cancelar o anúncio com a suspensão da cobrança no meu cartão de crédito. Passados mais de um mês o crédito não foi realizado e a atendente informou que teria que fazer todo o processo novamente.;Negativo
Excelente;Positivo
Precisa responder mais rápido, demais está bom;Positivo
Resposta e soluções com muita rapidez;Negativo
"A nota ao atendimento foi regular pois não tem opção para PÉSSIMO! Demoram mais de um mês para ""tentar"" resolver a situação e, como não houve resolução, entrei em 
contato e a resposta é que a análise da minha solicitação vai começar do zero.";Positivo
O Zapimoveis tem sido uma plataforma muito útil para anunciar, mas precisa oferecer planos mais flexíveis e um custo menor. Mas a plataforma é boa. O atendimento em geral carece de melhorar, ter mais rapidez de respostas,etc. O mundo mudou e a gente quer rapidez.;Neutro
foi otimo e rapido;Positivo
"Recebi ligação do suporte para aumentar a minha relevância nos anúncios, porque de fato meus anúncios tinham diminuído muito as chamadas e com duas orientações pude melhorar e estou melhorando aos poucos para poder usufruir nais do meu investimento. 
Agradeço muito a preocupação de vocês em nos ajudar a melhorar os anúncios, pois será bom para todos, empresa, imobiliária, clientes.";Positivo
Apesar da demora, até o atendimento real, o atendente foi hábil e rápido em resolver o problema. Mas tudo poderia ser evitado se a informação estivesse mais clara no Canal Pro.;Positivo
Tudo ótimo. Resposta rápida;Positivo
Que continue assim, obrigado;Positivo
O atendimento do Thiago foi perfeito, sempre muito solicito e respondeu todas as minhas dúvidas, porém a plataforma deixa algumas coisas a desejar. O tempo de sincronização com os sistemas é muito extenso.;Positivo
Foi bom em um geral, a sugestão fica pro sistema mesmo em ser mais especifico no que ele leva em conta na consideração das notas;Positivo
A atendente super educada, se todas fossem como ela seria muito bom.;Positivo
Fui bem atendido;Positivo
Bom atendimento;Positivo
"De novo a insatisfação foi com a demora até o atendimento real, onde atendente resolveu rápido uma simples alteração de vencimento. Lamentável, perdi mais de 2h em 2 ações simples que poderiam ser resolvidos com alguns ""clics"" se as informações estivessem mais claras ou os procedimentos disponíveis no Canal Pro.";Negativo
A atendente Fernanda foi atenciosa e ágil. O sistema de anúncios não possibilita realizar a minha solicitação mas vou criar outro anúncio.;Positivo
Boa tarde estou satisfeito com o atendimento obrigado;Positivo
Obg;Neutro
Gostaria que dentro do próprio site houvesse a possibilidade de fazermos alteração em dados do locatário;Negativo
Atendimento rápido e a atendente me orientou e respondeu as minhas dúvidas rapidamente. Gostei bastante! ??????;Positivo
Foi ótimo, rápido e eficaz;Positivo
Nenhuma sugestão;Neutro
Ainda não tive meu problema resolvido.;Negativo
Só agradece pelo seu bom atendimento;Positivo
O atendimento poderia ser mais rápido. Fiquei muito tempo esperando.;Negativo
Sempre é possível melhorar!;Negativo
Gostaria de uma função de exportar o relatório de integração para excel, para facilitar analises!;Neutro
Eu estou com uma dúvida, em relação a colocar o endereço completo no anúncio, já que muitos proprietários de imóveis não permitem. Com isso a minha pontuação e relevância diminuem. Não obtive solução para este problema!;Negativo
Excelente atendimento;Positivo
O atendimento agora direto com vcs foi ótimo, com a Janaína responsável pelo setor, a qual fechei o pacote foi péssimo, ao menos um vendedor deve responder ao seu cliente!;Positivo
O problema foi resolvido rapidamente e a contento, fico feliz quando isso acontece, pois a maioria de minhas experiencias sempre foram cansativas;Positivo
Excelente atendimento.;Positivo
"A empresa deveria dar mais segurança e estabilidade financeira aos seus clientes . A troca de políticas de planos prejudica muito quem se planeja a medio e longo prazo.
A fidelidade e assiduidade nada tem válido nas contratações. Isso é péssimo";Neutro
Atendeu minhas solicitações com clareza;Positivo
Precisa ter uma solução mais prática para falar com atendente o atendente virtual Beto é lerdo e faz perder tempo demasiado se quero falar com atendente.;Negativo
Tenho uma duvida;Neutro
A Aline foi gentil e atenciosa, mas não adianta nada se vocês continuarem criando relatórios que não funcionam.;Negativo
"O atendente Jean, foi simples e objetivo e resolveu meu problema.
Obrigado Jean";Positivo
Primeiro contato com a Renata Souza, muito bom o atendimento. Continuação do atendimento com Allana, tb muito bom atendimento. Parabéns para as meninas, estão no lugar certo. Grata.;Positivo
obrigado;Neutro
"o Atendente sumuiu e não respondeu a minha pergunta, para a solução.
é por isso que não gosto do atendimento on line";Negativo
Anúncio;Neutro
Não é a primeira vez que preciso do canal p resolver alguns assuntos . Nem sempre consigo, é muito difícil o contato por aqui..;Negativo
Meus anúncios não estão aparecendo, e outros estão sem foto;Negativo
Atendente excepcional!!;Positivo
Obrigada;Positivo
Foi tudo ótimo;Positivo
Aguardando retorno do time comercial em 72 há.;Negativo
A atendente Glacy, que me atendeu hoje, foi super solícita, e disposta a resolver e me orientar sobre as necessidades que eu apresentei. Parabéns a ela pela dedicação;Positivo
Nota 1;Negativo
"Obrigada pela ajuda !!!!
Espero que se resolva logo !";Positivo
O tempo de espera para falar com o atendimento foi de quase duas horas. Inconcebível isso;Negativo
"Você fez o melhor atendimento de todos os tempos.

Obrigado";Positivo
Seria bom que o chat no canal pro funcionasse.;Positivo
O atendimento é muito bom!;Positivo
"Estou desanimada já tentando logar sem sucesso 
Coloco esqueci a senha e não chega outro e-mail pra mim logar";Negativo
Olá;Neutro
Tirar o anúncio da minha casa que NÃO está a venda;Negativo
Precisa ter gerenciamento no atendimento direto com o cliente tal como gerente de banco;Neutro
Precisamos de retorno mas rápido, na hora que é solicitado;Negativo
Obrigada espero receber meus boletos pelo e-mail que mencionei obrigada;Positivo
Já fiz uma reclamação no site Reclame aqui e passei todos os protocolos. Aguardando retorno, pois como consumidor conheço muito bem os meus direitos. Aguardem uma ação judicial.;Negativo
ola;Neutro
Ótimo atendimento.;Positivo
Tudo certo;Positivo
Será resolvido exatamente quando, o boleto vir com o valor correto.;Neutro
Me dê um bônus rs;Neutro
Seria bom consultar o anunciante antes da renovação automática;Positivo
Contratei plano zap+15 classico e fiz pagamento atraves cartão de credito. Foi debitado e identificado no sistema do grupo zap(\Empresa). Porem ao iniciar a publicar os meus anuncios dos imoveis simplesmente ficam inativo pois tenho que aguardar 48horas para ativação. Absurdo!!! Irei aguardar ate final do dia de hoje e caso não ative meus anuncios irei cancelar contrato;Negativo
O caminho pelo atendimento foi a melhor opção, mas duas outras vezes com filtro, não prosperou a solicitação.;Negativo
Poderia me dar a opção de fazer o upload das fotos uma vez que pago caro pelo Super Destaque;Neutro
nada a declarar;Neutro
Atendimento. demora muito, não resolve o problema encerrando logo o chamado. Péssima gestão. Paguei 2x a mensalidade porque não cancelaram plano antigo, foi esta semana e não me resolvem nada sobre o estorno do valor cobrado a mais. Tenho que cancelar futuro pagamento e também não consigo... péssimo serviço;Negativo
Houve um pouco de demora pra o atendimento, mais conseguir resolver;Negativo
Esclareceu as dúvidas porém não é um problema de resolução do portal segundo o atendente;Neutro
Foi bem rápido e tive meu problema resolvido pela atendente. Eu acho que a eficiência se deu por conta de que vcs deram de cara a opção (6) falar com atendente. A moça não embromou e foi no ponto que eu precisava. Nem fizeram aquele monte de pergunta , tipo checado dados, que a gente costuma enfrentar.;Positivo
A minha dúvida foi explicada, entendi.;Positivo
ATENDIMENTO 10!!!!!!!! PARABENS;Positivo
Estou aguardando o sistema carregar as fotos do anúncio que publiquei. Antigamente não demorava assim. Após o anúncio aparecer como Ativo já apareciam as fotos. O sistema diz que está ativo mas não está.;Negativo
A consultora Fernanda foi muito atenciosa, profissional e rapidamente resolveu à minha solicitação. Mas Fernandas no time Zap+;Positivo
"Excelente atendimento , fiquei super satisfeita
Parabéns! Nota 10";Positivo
Não obtive atendimento da funcionária que efetuou o plano . Ficamos 2 dias sem poder acessar . Na implantação e importante um suporte mais rápido .;Negativo
Aguardando o financeiro fazer contato comigo.;Neutro
Muito tempo de espera no site, a atendente super eficiente;Positivo
Não tenho;Neutro
"Estamos muito satisfeito com o atendimento do suporte técnico do Canalpro.
P.s. Falta apenas, vocês liberarem automaticamente a operacionalização na plataforma, após pagamento através do pix.
Boleto, 72 horas, é muito tempo para retomarmos com as visualizações dos nossos anúncios. 
Gratos";Positivo
Olá tudo bem?;Neutro
Site é ruim para o anunciante pessoa física.;Negativo
Muito obrigado pela presteza no atendimento, Paulo!;Positivo
Ok;Neutro
Prestador Leonardo foi muito eficiente na resolução do problema;Positivo
ATENDIMENTO 10!!!!!!!! PARABENS;Positivo
Foi muito rápido e eficaz.;Positivo
Desenvolver mais a resposta;Negativo
achei rápido e eficiente o que eu precisava foi solucionado obrigada;Positivo
Na avaliação deveria estar escrito exemplo: De 1 a 4, (sendo 1 muito ruim e 4 muito bom) como você avalia sua experiência neste atendimento ?;Neutro
Só tenho elogios sobre o atendimento, não tenho nenhuma reclamação ou algo do tipo;Positivo
Atendimento foi bom , só não resolveram me problema é não consigo anunciar , paguei o boleto dia 10 e até agora nads;Positivo
"Obrigado por resolver o meu problema.

Você é muito atenciosa...";Positivo
Nota 10;Positivo
Muito bom atendimento!!!;Positivo
O atendimento foi muito bom, vou seguir a dicas para ver se resolve o problema;Positivo
Continue ouvindo as reclamações e sugestões dos clientes.;Negativo
O atendimento pode ser mais ágil;Neutro
Fui bem atendida. Obrigada;Positivo
Teve uma demora no atendimento;Neutro
ótimo atendimento feito pelo Alfredo;Positivo
Corretor atencioso;Positivo
A ZAP IMoveis foi reincidente nesta cobrança indevida o que causa um desgaste muito grande para o cliente ter que ficar atento a uma falha de cobrança que a principio já estava resolvido e derrepente está de volta.Espero que seja a ultima vez.;Negativo
"Dou nota 2 para Empresa OLX.
Seguem 2 Pontos Negativos:

1) Percebi que a Empresa OLX num todo, demoram em atender. 
E como disse para a Débora dei Nota 4, me atendeu muito bem!

Mas a Empresa OLX que comprou Zap e Viva Real, aumentou de tamanho. 
No entanto, a OLX não aumentou as contratações de atendentes, para poderem nos responder mais rápido, o que evitaria nosso tempo de espera, e podem haver casos emergentes.

2) Mudança a toda hora de Atendente, é inseguro pra mim. Toda hora tenho que perguntar aqui, se posso falar com Fulana de Tal.

Hoje em dia existem HACKERS, ou bandidos de Internet. 

Antes quem me atendia direito era a Amanda até Agosto de 2022, era excelente profissional!

E vou deixar registrado que volte a ser como antes, um atendente fixo.

Espero que atendam minhas solicitações.

Desde já agradeço a atenção e a abertura de deixar minhas Solicitações.

Andréa";Negativo
A demora pra responder a mensagem;Negativo
Diminuir o tempo de espera.;Negativo
Foi eficiente nas respostas o mercado é que esta ruim;Positivo
No momento estou satisfeito;Positivo
https://ma.olx.com.br/regiao-de-sao-luis/imoveis/cobertura-renascenca-2-1157680038;Neutro
Cada vez mais buscar excelência no atendimento;Positivo
Gostei da presteza!;Positivo
Foi uma ótima orientação;Positivo
Precisam aceitar áudio;Negativo
"Demora na correção do bug na plataforma e sem o reembolso ou bonificação compatível com os 8 dias dos serviços prejudicados. 
Continuo aguardando as providências conforme contato via e-mail.";Negativo
Preciso que vc entre e retire o anúncio;Negativo
Muita morosidade para falar com atendimento.;Negativo
Não estou tendo um retorno dos meus anúncios . Tem anúncio que não aparece no Zap;Negativo
Entrei em contato para pedir ajuda porque está dando um erro na hora de fazer anúncio para alugar imóvel. A Jéssica disse que não acha nenhum plano no meu CPF, e não vai achar mesmo, porque eu expliquei várias vezes pra ela que dá erro na hora que eu vou tentar fazer o plano. Ela me passou o contato 011 4935-9013 pra fazer o plano, mas este canal é só para planos comerciais, não para pessoa física. Resumo: continuo sem conseguir anunciar ????????????;Negativo
Até agora o problema das senhas persiste!;Negativo
Opção de falar por telefone também;Negativo
otima atendente a Gracy !!!;Positivo
Atendimento péssimo, não conseguimos contato com a pessoa responsável pela nossa conta e ninguém resolve nada;Negativo
Consegui falar e foi ótimo o atendimento. Apesar da demora. Atendeu a minha necessidade e solucionamos o problema.;Positivo
Estou solicitando link para renovar senha canal pro a 5 dias e dai não acesso a conta.;Negativo
O tempo entre as respostas poderia ser menor;Negativo
O atendimento é muito, muito demorado. Leva dias ou muitas horas para falar com um consultor de vendas, mesmo sendo franqueado REMAX que é uma empresa parceira. Pedem desculpa o tempo todo pelo transtorno, mas não atendem nossa demanda pela contratação do serviço. Como será o pós venda?;Negativo
Atendimento bastante ágil e satisfatório..;Positivo
Muita demora p retorno;Negativo
Muita demora p retorno;Negativo
Agradeço à Mel pela eficiência.;Positivo
Muito bom atendimento;Positivo
Esse aí. ??;Neutro
Aguardando o problema ser resolvido;Neutro
atendimento rapido e ótimo;Positivo
Show;Positivo
Atendimento foi rápido e acertivo;Positivo
Atendimento objetivo, prático e de fácil compreensão;Positivo
Estou tentando a dias ajuda de voces e não consigo! As informações prestadas são sempre vagas e não consigo ver qualquer vantagem em continuar anunciando com vcs!;Negativo
"A atendente Paola foi excelente!!!
O tempo de espera (quase 4h30) foi absurdo. Totalmente, fora de qualquer curva. Vcs devem tomar providências urgentes. Cobram valores altos pelos anúncios e devem contratar pessoal para atender os clientes.";Positivo
Oferecer um CRM próprio;Neutro
não consigo acessar meus anúncios;Negativo
Gostei do atendimento ??;Neutro
ótimo atendimento da Carolina;Positivo
o atendimento pelo whatsapp com a atendente juan foi excelente, efetivo e muito rápido.;Positivo
Gostei da agilidade do atendimento;Positivo
Atendimento rápido, eficiente e carinhoso.;Positivo
O sistema é muito demorado, esse um item que poderia melhorar.;Negativo
Rápido;Positivo
Ótimo atendimento;Positivo
Só agilizar o processo para o site está ok e podermos receber o email de confirmação, por que está demorando além do que imaginava.;Negativo
Vocês poderiam deixar o cliente livre para poder alterar algo no portal e não ter que esperar uma carga, e as cargas poderiam ser em tempo real;Neutro
Um telefone que possamos falar com quem nos atende;Negativo
Eu recebi apenas 6 contatos de clientes interessados em comprar imóveis em 16 dias. A média é 1 cliente a cada 2 dias com um custo médio de 50 reais por cada cliente.;Negativo
"Não concordo com o não cancelamento das parcelas a vencer.
É inacreditável este tipo de contrato, o não cancelamento das parcelas a vencer.
Fica aqui os meus protestos sobre este sistema, inclusive vou postar no reclame aqui.";Negativo
Ótimo atendimento. Obrigada!;Positivo
Vcs não nos disponibilizam as ferramentas para que possamos cancelar a assinatura. Vcs não possuem SAC, além de não anunciarem o produto direito. É humilhante contratar um serviço com vcs.;Negativo
oi;Neutro
Parabéns a Funcionária Thaisa, atendimento rápido, preciso e profissional.;Positivo
"Tudo em ordem.
Obrigado";Positivo
gostaria de sugerir que no chat de você tivesse a opção de colocar uma mensagem patrão direcionando nossos leads para um contato especifico, pois sempre temos que manter o chat aberto onde nossa empresa quer direcionar só pata tipo de comunicação com os leads;Neutro
Atendente foi super solicita, e simpatica, me ajudou muito;Positivo
A atenção da Hellen muito boa.Mas ainda tenho que esperar 48 hs para o financeiro verificar meu pagamento e comenza a publicação de meu anúncio;Positivo
"Fiz uma consulta do 
Meu celular é não veio em no email e em no canal pró";Negativo
Rapidez no atendimento.;Positivo
passou para outra pessoa, mas atendimento foi bom;Positivo
Telefone;Positivo
Voltem o acesso manual a olx;Negativo
Não tenho nada que acrescentar, a Viviane fou super solicita e resolveu todas as minhas duvidas e problemas;Positivo
Atendimento muito bom;Positivo
O atendimento precisa ter mais precisão;Negativo
Atendimento rápido e eficiente;Positivo
Atendimento não digo. Mas, o sistema tem apresentado várias inconsistências.;Negativo
Obrigado;Neutro
"Título do anúncio alterado pelo sistema .

Informações adicionada pelo sistema no campo de informações editadas pelo cliente 



Nao reconhece cep da cidade.";Neutro
Meu problema não foi resolvido, porém a Paola foi muito profissional e me respondeu com educação. Das outras vezes as pessoas que atenderam bateram com o telefone.;Negativo
Nada a melhorar, ótimo atendimento!;Positivo
Obrigado;Neutro
"O atendimento demora muito para começar.
E durante o atendimento o atendente demora MUITO para responder as perguntas";Negativo
Melhorar a política comercial, considerando algum desconto para quem esta contratando anúncio para mais de um imóvel...;Neutro
Resolução rápida;Positivo
Ágil.;Positivo
Um pouco de demora no tempo de resposta. No restante achei legal.;Positivo
Coloquem mais GENTE e menos ROBOS para trabalhar!;Negativo
Estou satisfeito.;Positivo
a atendente Glacy é muto eficiente, ao contrario do que normalmente eu vejo por aqui.;Positivo
SUGIRO MENOS tempo de espera até chegar ao atendente.;Neutro
Atendimento muito bom ?;Positivo
Atendimento telefônico faz falta;Neutro
Muito obrigado;Positivo
PARABÉNS HELLEN;Positivo
ótimo atendimento;Positivo
não tenho problemas de atendimento no canal.;Positivo
Eu quero colocar o número do Creci no meus anuny;Neutro
"O atedimento é péssimo, inclusive do time comercial.
É inacreditável levar dias para ser atendimento por um vendedor.
Após a aquisição e frases prontas, não se consegue mais contato com o mesmo que acabou de dizer que estaria a disposição.";Negativo
"Bom dia, vocês não dão nenhum respaldo, ajuda, suporte para nós clientes, difícil de comunicar, vocês só entram em contato apenas para oferecer produtos ""vendas"".";Positivo
Atendimento otimo. O que questiono é a parte de sistema mesmo. Foi muito dificil recuperar a senha, email nao chegava e não fica muito claro para os atendendes se a pessoa tem ou nao cadastro ativo. Acho que parte cadastral seria interessante melhorar.];Positivo
Acho que o zap Imoveis deveria atender a ligação de voz neste canal;Neutro
para mim, até agora es td ok, não tenho doa que reclamar;Neutro
Péssimo serviço. Pedi apenas para alterar o CEP que aparece errado no anuncio por um erro que não foi meu. em vários sites eu digito o numero correto e aparece a rua certa. no site da zap digitando o cep aparece uma rua estranha. tentei mudar e me informaram que não era possível. Algo tão simples que poderia ser resolvido com boa vontade. Péssimo serviço.;Negativo
Obrigada pelo excelente atendimento;Positivo
Ótimo atendimento.;Positivo
Que o sistema de vcs, funcione;Neutro
Pessimo serviço;Negativo
tem que resolver o problema;Negativo
A Olx, poderia ter a integração de leads automático, como os demais portais.;Neutro
Gostei do atendimento, rápido e me deu a solução.;Positivo
Ninguém responde;Negativo
Rapido e agil;Positivo
Não fazia parte da alçada da moça mas ela está me ajudando super bem;Positivo
Me ajuda a fazer e o custo;Neutro
Ótimo atendimento da tua funcionária;Positivo
mais rapidez para iniciar o atendimento;Neutro
Bom;Positivo
Ok;Neutro
desapontada com o atendimento;Negativo
Atendimento nota 10;Positivo
Resolveu o nosso problema. Obrigada;Positivo
Olá, estou com um problema que não foi resolvido.;Negativo
Nota zero para o ZAP+ dificuldade em responder e-mail, não dão atenção ao cliente, porém hoje o atendimento com a Glaucy foi sensacional, essa pessoa não merece trabalhar no ZAP+, ela merecia outra empresa muito melhor!!! Parabéns pelo seu atendimento Glaucy!!! ZAP+ vocês são um lixo....;Negativo
Demorou um pouco para atender, porém a resposta foi objetiva, obrigado;Neutro
Otimo atendimento. Obrigada.;Positivo
Profissional se prontificou pra resolver minha situação;Positivo
O URL do meu site não foi compatível, estou vendo aqui;Neutro
tempo de resposta as vezes demora para vir alguém atender e seria ótimo ter um canal de ligação;Positivo
Execelente atendimento!;Positivo
"Ficamos vários dias sem acesso ao CANAL PRO mas agora está resolvido 
Preciso de mais retorno em nossos anúncios. Aumentei o investimento e o retorno caiu.";Neutro
O atendimento é bom e rápido está ótimo assim;Positivo
"Péssimo termos que anunciar no OLX imóveis. 
OLX anuncia ainda imóveis que já vendemos.";Negativo
Neste atendimento houve muito interesse da parte da atendente, seu atendimento foi ótimo.;Positivo
O atendimento pessoal desta vez foi muito bom. Resolveu o que podia resolver. Mas ainda não tenho acesso ao PRO.;Positivo
Responderam após 16 dias sem a solução do problema. Péssimo atendimento.;Negativo
Atendimento excelente e foi rápido, tem dias que demora pra resolver;Positivo
Minhas dúvidas foram esclarecidas, mas o que ponderei não tem solução no portal . Mas tudo bem.;Neutro
"Eu só consegui que meu problema fosse resolvido depois que abri um chamado no Reclame Aqui.

Entendo que ter uma nota positiva no Reclame Aqui possa representar algo positivo. Mas, honestamente, obrigar o Cliente recorrer um órgão fora da Cia, mostra a fragilidade no atendimento, o que é preocupante pra uma empresa que tem sua operação toda no digital.";Negativo
Fui atendido dentro das minhas expectativas e necessidades;Neutro
Ótimo atendimento;Positivo
Muito bom;Positivo
Comunicação pouco assertiva com os gestores de conta, já o atendimento do no canal do cliente via whats demora bastante pra responder, coisa de 4h. No telefone nem se fala, já fiquei 38 min esperando para ser atendido;Negativo
Rápido e eficiente;Positivo
atendimento rápido e direto, perfeito pois foi direto ao ponto e ja foi solucionado;Positivo
obrigado;Neutro
O Alfredo é muito prestativo.;Positivo
"Boa tarde. Eu entrei no meu cadastro no ZAP, cliquei em ""Meus Anúncios"" e não apareceu nenhum anúncio meu cadastrado no site há muito tempo, mandaram eu cadastrar um outro anúncio.";Neutro
Fiquei muito satisfeito e surpreso com a eficiência no atendimento;Positivo
"O atendente me atendeu super bem e rapidamente 
Diferentemente das outras vezes";Positivo
"Atendimento mais humanizado 
Vendedores mais comprometidos";Positivo
Facil comunicação, resposta rápida e solução do problema de imediato;Positivo
Excelente atendimento. Rápido e eficiente.;Positivo
por enquanto é isso!;Neutro
Limitados e bem difíceis para o valor pago para anunciar.;Negativo
Bom atendimento.;Positivo
Foi rápido e objetivo. e o problema foi resolvido.;Positivo
"Como cliente fiz o pagamento e vocês estão demorando para aceitar.
Isso torna as coisas mais difíceis para o cliente";Negativo
Fui bem atendido e o meu problema foi solucionado. Agradeço a todas da equipe ZAP Imóveis.;Positivo
A linguagem é fácil de ser entendida, até mesmo por quem não tem experiência.;Neutro
Este é um assistente virtual de inteligência artificial?;Neutro
Estou me sentindo prejudicado de ter meus anúncios suspensos mesmo sendo pago por questão do sistema de vocês , posso perder oportunidades do final de semana que é mais propício as visualizações;Negativo
4 é otimo@;Positivo
Débora teve um excelente atendimento!;Positivo
Atendimento eficiente;Positivo
Sempre as mesmas informações. Que portais são randômicos, anúncios com boa nota ou suoer destaque tem mais relevância e por aí vai. Meus anúncios são TODOS bem pontuados segundo o canal pró e mesmo assim observo que na maioria das vezes anúncios com pior qualidade estão melhor posicionados no Zap e Viva Real. Estou analisando se realmente vou continuar anunciando pelo Zap e Viva Real. Chega poucos leads e de má qualidade. Não aacho que está valendo o investimento.;Negativo
seria mais interessante uma pessoa falando comigo do que o sistema em si;Neutro
Precisa rever aspectos na hora que publicamos imóveis como: Cep, Forma de colocar as áreas sociais, tem que ir no local, escolhe um, volta, escolhe outro, e rola l, rola rola acha outro escolhe e volta... Deveria abrir todos e vai selecionando, enfim.....e baixar esses valores, alem claro, de bonificar pouco imóvel com destaque ?;Neutro
Não tive o mínimo retorno.;Negativo
Meu problema não está no atendimento. que só tenho a elogiar, mas sim com algumas questões da plataforma;Positivo
"Grande investimento para pouco retorno.
Gostaríamos de ter maior número de lides";Negativo
"O site de vocês é o pior que já acessei.
Meu anúncio foi renovado 3 meses atrás e não foi publicado. 
Tento publicar, não consigo.
Tento editar o anúncio, não consigo.
Tento cancelar a recorrência, não consigo.
Tento alterar meus dados de cartao, não consigo.

Pior experiência que já tive.";Negativo
Eu solicitei que meus dados fossem atualizados (whatsap e email) no meu anuncio. Quando anunciei o sistema pegou os meus dados de um anuncio antigo. No whatsap falaram que ja tinham feito e que no maximo em 4 horas seria atualizado. Acontece que passou das 18hs e o fim de semana chegou e as pessoas interressadas nao terao como entrar em contato comigo. Super prejuizo.;Negativo
Ainda estou esperando que voces publiquem meu anuncio. Já paguei faz 9 dias e ainda seu financeiro não consigue acreditar meu pagamento.;Negativo
"Deveria ter uma pessoa responsável pela nossa conta, antigamente tinha a Jamille que me assessorava e me deixava sempre satisfeita 
Nunca deixei de fazer pacotes adicionais e pagar boleto antes da data.
Hoje, as pessoas só falam comigo para fazer planos adicionais 
Nunca conseguir resgatar meus pontos, já mandei inúmeros e-mail e nada.
15 dias sem as fotos principal na capa";Negativo
